path,filename,species,target_idx
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat810195.ogg,iNat810195.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat840159.ogg,iNat840159.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat1264238.ogg,iNat1264238.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat1114648.ogg,iNat1114648.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat842139.ogg,iNat842139.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat818781.ogg,iNat818781.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat869958.ogg,iNat869958.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat1216197.ogg,iNat1216197.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat556514.ogg,iNat556514.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat547199.ogg,iNat547199.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/1161364/iNat868369.ogg,iNat868369.ogg,1161364,0
/Users/ray/Documents/ML/birdclef-2026/train_audio/116570/iNat1460166.ogg,iNat1460166.ogg,116570,1
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat145706.ogg,iNat145706.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat188986.ogg,iNat188986.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat829107.ogg,iNat829107.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat936019.ogg,iNat936019.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat819936.ogg,iNat819936.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat1269019.ogg,iNat1269019.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat1708543.ogg,iNat1708543.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat845830.ogg,iNat845830.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat389418.ogg,iNat389418.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat1641731.ogg,iNat1641731.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat730318.ogg,iNat730318.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1176823/iNat730319.ogg,iNat730319.ogg,1176823,2
/Users/ray/Documents/ML/birdclef-2026/train_audio/1595929/iNat1242529.ogg,iNat1242529.ogg,1595929,3
/Users/ray/Documents/ML/birdclef-2026/train_audio/1595929/XC999239.ogg,XC999239.ogg,1595929,3
/Users/ray/Documents/ML/birdclef-2026/train_audio/1595929/iNat1308166.ogg,iNat1308166.ogg,1595929,3
/Users/ray/Documents/ML/birdclef-2026/train_audio/1595929/iNat1242532.ogg,iNat1242532.ogg,1595929,3
/Users/ray/Documents/ML/birdclef-2026/train_audio/1595929/iNat1679888.ogg,iNat1679888.ogg,1595929,3
/Users/ray/Documents/ML/birdclef-2026/train_audio/209233/iNat1545859.ogg,iNat1545859.ogg,209233,4
/Users/ray/Documents/ML/birdclef-2026/train_audio/209233/iNat864998.ogg,iNat864998.ogg,209233,4
/Users/ray/Documents/ML/birdclef-2026/train_audio/22930/iNat317238.ogg,iNat317238.ogg,22930,5
/Users/ray/Documents/ML/birdclef-2026/train_audio/22930/iNat910967.ogg,iNat910967.ogg,22930,5
/Users/ray/Documents/ML/birdclef-2026/train_audio/22930/iNat1248662.ogg,iNat1248662.ogg,22930,5
/Users/ray/Documents/ML/birdclef-2026/train_audio/22930/iNat897105.ogg,iNat897105.ogg,22930,5
/Users/ray/Documents/ML/birdclef-2026/train_audio/22930/XC940773.ogg,XC940773.ogg,22930,5
/Users/ray/Documents/ML/birdclef-2026/train_audio/22930/iNat330099.ogg,iNat330099.ogg,22930,5
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1282546.ogg,iNat1282546.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1711085.ogg,iNat1711085.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1282547.ogg,iNat1282547.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1637913.ogg,iNat1637913.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat854298.ogg,iNat854298.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1693794.ogg,iNat1693794.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1701222.ogg,iNat1701222.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat804970.ogg,iNat804970.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat859871.ogg,iNat859871.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat60929.ogg,iNat60929.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat859870.ogg,iNat859870.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat328497.ogg,iNat328497.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat972765.ogg,iNat972765.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1301818.ogg,iNat1301818.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1705476.ogg,iNat1705476.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat182971.ogg,iNat182971.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1693371.ogg,iNat1693371.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/XC900618.ogg,XC900618.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1307645.ogg,iNat1307645.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat330827.ogg,iNat330827.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat327340.ogg,iNat327340.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1723893.ogg,iNat1723893.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat886570.ogg,iNat886570.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1702693.ogg,iNat1702693.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1245289.ogg,iNat1245289.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1307619.ogg,iNat1307619.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1298529.ogg,iNat1298529.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1257825.ogg,iNat1257825.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat879304.ogg,iNat879304.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1300149.ogg,iNat1300149.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1261831.ogg,iNat1261831.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22956/iNat1284850.ogg,iNat1284850.ogg,22956,6
/Users/ray/Documents/ML/birdclef-2026/train_audio/22961/iNat846512.ogg,iNat846512.ogg,22961,7
/Users/ray/Documents/ML/birdclef-2026/train_audio/22961/iNat1662496.ogg,iNat1662496.ogg,22961,7
/Users/ray/Documents/ML/birdclef-2026/train_audio/22961/iNat512578.ogg,iNat512578.ogg,22961,7
/Users/ray/Documents/ML/birdclef-2026/train_audio/22961/XC1062603.ogg,XC1062603.ogg,22961,7
/Users/ray/Documents/ML/birdclef-2026/train_audio/22961/iNat1657948.ogg,iNat1657948.ogg,22961,7
/Users/ray/Documents/ML/birdclef-2026/train_audio/22961/iNat839121.ogg,iNat839121.ogg,22961,7
/Users/ray/Documents/ML/birdclef-2026/train_audio/22967/iNat911059.ogg,iNat911059.ogg,22967,8
/Users/ray/Documents/ML/birdclef-2026/train_audio/22967/iNat1698107.ogg,iNat1698107.ogg,22967,8
/Users/ray/Documents/ML/birdclef-2026/train_audio/22967/iNat56387.ogg,iNat56387.ogg,22967,8
/Users/ray/Documents/ML/birdclef-2026/train_audio/22967/iNat1698104.ogg,iNat1698104.ogg,22967,8
/Users/ray/Documents/ML/birdclef-2026/train_audio/22967/iNat1698105.ogg,iNat1698105.ogg,22967,8
/Users/ray/Documents/ML/birdclef-2026/train_audio/22967/iNat1697350.ogg,iNat1697350.ogg,22967,8
/Users/ray/Documents/ML/birdclef-2026/train_audio/22967/iNat321313.ogg,iNat321313.ogg,22967,8
/Users/ray/Documents/ML/birdclef-2026/train_audio/22967/iNat1448422.ogg,iNat1448422.ogg,22967,8
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat326966.ogg,iNat326966.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1675887.ogg,iNat1675887.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat331404.ogg,iNat331404.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/XC892927.ogg,XC892927.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/XC892932.ogg,XC892932.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat581610.ogg,iNat581610.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat630711.ogg,iNat630711.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1099468.ogg,iNat1099468.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat218912.ogg,iNat218912.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1257590.ogg,iNat1257590.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1267679.ogg,iNat1267679.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1243080.ogg,iNat1243080.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat330457.ogg,iNat330457.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1698103.ogg,iNat1698103.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat154035.ogg,iNat154035.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat599374.ogg,iNat599374.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat599375.ogg,iNat599375.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1320384.ogg,iNat1320384.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/XC167037.ogg,XC167037.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat28982.ogg,iNat28982.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1243033.ogg,iNat1243033.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1251026.ogg,iNat1251026.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1677772.ogg,iNat1677772.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat887102.ogg,iNat887102.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1645288.ogg,iNat1645288.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/XC928991.ogg,XC928991.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat556448.ogg,iNat556448.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat859872.ogg,iNat859872.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat326860.ogg,iNat326860.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1299089.ogg,iNat1299089.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat287261.ogg,iNat287261.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/XC929100.ogg,XC929100.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat1431353.ogg,iNat1431353.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/iNat879833.ogg,iNat879833.ogg,22973,9
/Users/ray/Documents/ML/birdclef-2026/train_audio/22973/XC1062605.ogg,XC1062605.ogg,22973,9
